frame,time_sec,dribble_type,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,left_ankle_angle,right_ankle_angle,left_knee_velocity,right_knee_velocity,left_hip_velocity,right_hip_velocity,left_elbow_velocity,right_elbow_velocity,left_ankle_velocity,right_ankle_velocity,left_knee_load,right_knee_load,left_hip_load,right_hip_load,left_elbow_load,right_elbow_load,left_ankle_load,right_ankle_load,knee_asymmetry,hip_asymmetry,ankle_asymmetry,elbow_asymmetry,max_load,max_load_joint
36,1.2,Unknown,156.4955163491602,142.14802712088195,110.49934859471298,107.7010785788515,108.91704557454976,95.57960417224753,164.0061358063884,159.37191684857225,27.25114452325755,10.778269368985889,13.576558160086307,34.653210129348935,919.2706897532817,15.551792316321098,64.54668309763349,2.1549817019592865,0.0,0.0,0.0,0.0,47.07866584999497,0.0,32.97484996931188,27.592860589041834,14.34748922827825,2.7982700158614904,4.634218957816131,13.337441402302233,47.07866584999497,left_elbow_load
37,1.2333333333333334,Unknown,155.1429434020342,142.1361530385499,110.5131759776826,106.46289928323647,125.02106102506818,95.11745180798722,165.87028123455414,159.85505248664046,40.577188413779766,0.35622246996126705,0.41482148908826844,37.14537886845079,483.1204635155525,13.864570927809154,55.92436284497268,14.494069142046158,0.0,0.0,0.0,0.0,25.64000767963581,0.0,35.0252435549977,28.17356063565303,13.0067903634843,4.050276694446126,6.015228747913682,29.903609217080955,35.0252435549977,left_ankle_load
38,1.2666666666666666,Unknown,154.73465337996453,142.75512208313856,112.02876553355016,104.24398944826773,175.87272788811492,97.9705039268937,169.36452919357762,160.5831344257939,12.248700662090357,18.56907133765958,45.467686676026915,66.56729504906224,1525.5500058914024,85.59156356719427,104.82743877070448,21.842458174603223,0.0,0.0,0.0,0.0,47.07866584999497,0.0,38.701132620259585,29.03988592767289,11.979531296825968,7.784776085282431,8.781394767783723,77.90222396122122,47.07866584999497,left_elbow_load
39,1.3,Unknown,154.06874519913657,144.09956352100912,112.98769218392242,103.45748802912566,179.23180455295247,98.65385350818818,172.6329974519429,161.34366289051013,19.977245424838657,40.33324313611672,28.76779951116788,23.595042574262095,100.77229994512635,20.50048743883437,98.05404775095866,22.81585394148692,0.0,0.0,0.0,0.0,0.0,0.0,41.951034036689805,29.93366254979577,9.969181678127455,9.530204154796763,11.289334561432781,80.57795104476429,41.951034036689805,left_ankle_load
40,1.3333333333333333,Unknown,153.74410135205986,143.85261651040182,112.56861126151126,103.20251967238065,172.0745005309933,99.39489891937372,171.6893158621962,160.7324782212358,9.739315412301437,7.408410318219012,12.57242767233464,7.6490507023503085,214.7191206587749,22.23136233556616,28.31044769240151,18.33554007823011,0.0,0.0,0.0,0.0,7.436627863320966,0.0,41.030820761997546,29.216290508193577,9.891484841658041,9.366091589130619,10.956837640960401,72.67960161161959,41.030820761997546,left_ankle_load
41,1.3666666666666667,Unknown,153.8778886928512,143.89614867239533,113.13459978041543,103.81842241563758,166.46539876338008,99.40259108351735,172.25235014524043,160.3274148665096,4.013620223740304,1.3059648598053286,16.979655567124894,18.477082297708165,168.27305302839676,0.23076492430902817,16.89102849132695,12.151900641785858,0.0,0.0,0.0,0.0,3.8618156996754194,0.0,41.581593679299736,28.736809045766908,9.981740020455874,9.316177364777843,11.924935278730828,67.06280767986273,41.581593679299736,left_ankle_load
42,1.4,Unknown,156.51158094461127,146.02403191105992,113.86261753043442,108.38690441030269,122.61552346432795,99.11992059362865,172.8258663166483,159.33471400459425,79.01076755280201,63.836497159937835,21.840532500569765,137.05445983995318,1315.496258971564,8.480114696661047,17.205485142236228,29.781025857460577,0.0,0.0,0.0,1.3817544127161407,47.07866584999497,0.0,42.13733175374158,27.547950808877797,10.487549033551346,5.475713120131729,13.491152312054055,23.4956028706993,47.07866584999497,left_elbow_load
43,1.4333333333333333,Unknown,157.59316173980932,147.75651903563502,115.0309038531127,111.25714898156663,118.88347148091505,98.76725509048035,171.3216730590869,159.52396613486292,32.44742385594151,51.97461373725304,35.04858968034853,86.10733713791817,111.96155950238705,10.57996509444905,45.125797726842336,5.677563908060108,0.0,0.0,0.0,0.0,0.0,0.0,40.66838493239003,27.77611918597468,9.836642704174295,3.7737548715460747,11.797706924223974,20.1162163904347,40.66838493239003,left_ankle_load
44,1.4666666666666666,Unknown,158.4881020684461,148.4868481408,116.10534644288204,111.58920892543594,117.20671177363914,99.02633102921703,170.99718247614047,160.2893891865326,26.84820985910335,21.909873154949082,32.23327769308,9.961798316079324,50.30279121827718,7.7722781621005765,9.734717488392732,22.962691550090142,0.0,0.0,0.0,0.0,0.0,0.0,40.34663985018157,28.691630876301176,10.001253927646104,4.516137517446097,10.707793289607878,18.18038074442211,40.34663985018157,left_ankle_load
45,1.5,Unknown,158.74772436812012,148.27891402258481,116.21083334914094,111.29849579622957,114.02737539078956,98.93422109130586,170.60888591009316,160.469156916282,7.7886689902206285,6.238023546455338,3.1646071877671034,8.721393876191001,95.38009148548753,2.763298137335255,11.648896981419057,5.3930318924824405,0.0,0.0,0.0,0.0,0.0,0.0,39.95933470980857,28.90496019614589,10.468810345535303,4.912337552911367,10.139728993811161,15.0931542994837,39.95933470980857,left_ankle_load
